tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borocode,borough,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council district,census tract,bin,bbl
336695,511208,10/16/2015,10,0,OffsetFromCurb,Alive,Fair,Zelkova serrata,Japanese zelkova,None,None,Damage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9 WESTCHESTER SQUARE,10461,Bronx,210,2,Bronx,13,82,34,BX37,Van Nest-Morris Park-Westchester Square,2020000,New York,40.83979398,-73.84329296,1027610.719,245275.7365,,,,
504181,507589,12/8/2015,4,0,OnCurb,Alive,Fair,Acer,maple,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,415 WHITE PLAINS ROAD,10473,Bronx,209,2,Bronx,18,85,34,BX09,Soundview-Castle Hill-Clason Point-Harding Park,2000400,New York,40.81402865,-73.85628059,1024032.459,235882.3321,18,4,,
15264,511081,6/9/2015,5,0,OnCurb,Alive,Fair,Acer rubrum,red maple,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,120 ELGAR PLACE,10475,Bronx,210,2,Bronx,12,82,36,BX13,Co-op City,2030200,New York,40.86340666,-73.8216517,1033581.317,253890.1691,,,,
16090,511225,6/10/2015,6,0,OnCurb,Alive,Fair,Fraxinus pennsylvanica,green ash,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,120 CASALS PLACE,10475,Bronx,210,2,Bronx,12,82,34,BX13,Co-op City,2046201,New York,40.87796436,-73.82305457,1033182.568,259193.3153,,,,
16102,511225,6/10/2015,4,0,OnCurb,Alive,Fair,Celtis occidentalis,common hackberry,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,100 CASALS PLACE,10475,Bronx,210,2,Bronx,12,82,36,BX13,Co-op City,2046201,New York,40.87862143,-73.82267443,1033287.207,259432.9231,,,,
116060,506779,8/4/2015,4,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,Volunteer,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,104 TERRACE VIEW AVENUE,10463,Bronx,208,2,Bronx,10,72,31,MN01,Marble Hill-Inwood,1030900,New York,40.87655525,-73.9127321,1008383.629,258642.5169,,,,
116276,506788,8/4/2015,19,0,OnCurb,Alive,Fair,Tilia americana,American linden,None,None,Damage,Volunteer,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42 FT CHARLES PLACE,10463,Bronx,208,2,Bronx,10,72,31,MN01,Marble Hill-Inwood,1030900,New York,40.87601027,-73.91009739,1009112.451,258444.699,,,,
461693,505517,11/16/2015,16,0,OnCurb,Alive,Fair,Zelkova serrata,Japanese zelkova,1or2,None,Damage,TreesCount Staff,Stones,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2505 DR KAZIMIROFF BOULEVARD,10458,Bronx,206,2,Bronx,15,78,33,BX06,Belmont,2039300,New York,40.85684197,-73.88099248,1017170.862,251470.5427,,,,
468898,504148,11/18/2015,6,0,OnCurb,Alive,Fair,Styphnolobium japonicum,Sophora,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1930 WALTON AVENUE,10453,Bronx,205,2,Bronx,14,77,33,BX41,Mount Hope,2023301,New York,40.8509175,-73.90885486,1009465.585,249302.7882,14,23301,,
48025,505796,7/3/2015,10,0,OnCurb,Alive,Fair,Tilia cordata,littleleaf linden,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2207 LORING PLACE NORTH,10453,Bronx,207,2,Bronx,14,86,33,BX30,Kingsbridge Heights,2025500,New York,40.8593534,-73.91028794,1009065.971,252375.8972,14,255,,
118562,506752,8/4/2015,4,0,OnCurb,Alive,Fair,Zelkova serrata,Japanese zelkova,4orMore,Helpful,NoDamage,Volunteer,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,149 WEST 225 STREET,10463,Bronx,208,2,Bronx,10,72,31,MN01,Marble Hill-Inwood,1030900,New York,40.87509913,-73.9125529,1008433.714,258112.0445,,,,
160085,509382,8/19/2015,9,0,OnCurb,Alive,Fair,Acer rubrum,red maple,1or2,Harmful,NoDamage,TreesCount Staff,"RootOther,BranchLights",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4234 EAST 177 STREET,10465,Bronx,210,2,Bronx,13,82,34,BX52,Schuylerville-Throgs Neck-Edgewater Park,2011800,New York,40.81769385,-73.80736824,1037568.756,237243.6886,,,,
