tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borocode,borough,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council district,census tract,bin,bbl
461655,516160,11/16/2015,2,0,OnCurb,Alive,Poor,Ginkgo biloba,ginkgo,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2505 DR KAZIMIROFF BOULEVARD,10460,Bronx,206,2,Bronx,15,78,33,BX06,Belmont,2033400,New York,40.85615611,-73.87948661,1017587.771,251221.2283,,,,
460333,500411,11/16/2015,4,0,OnCurb,Alive,Poor,Ginkgo biloba,ginkgo,None,None,NoDamage,NYC Parks Staff,"TrunkOther,BranchOther",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,892 EAST 149 STREET,10455,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2003100,New York,40.81025897,-73.90325506,1011031.146,234491.0596,8,31,,
461664,516160,11/16/2015,2,0,OnCurb,Alive,Poor,Ginkgo biloba,ginkgo,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2505 DR KAZIMIROFF BOULEVARD,10460,Bronx,206,2,Bronx,15,78,33,BX06,Belmont,2033400,New York,40.85585286,-73.878847,1017764.859,251110.9844,,,,
16077,511225,6/10/2015,3,0,OnCurb,Alive,Poor,Pyrus calleryana,Callery pear,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,120 CASALS PLACE,10475,Bronx,210,2,Bronx,12,82,36,BX13,Co-op City,2046201,New York,40.87732204,-73.82359759,1033032.874,258958.9871,,,,
384145,511911,10/27/2015,5,0,OnCurb,Alive,Poor,Ginkgo biloba,ginkgo,None,None,NoDamage,NYC Parks Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,760 BRADY AVENUE,10462,Bronx,211,2,Bronx,13,80,34,BX49,Pelham Parkway,2022404,New York,40.85230002,-73.86509028,1021572.407,249822.1116,13,22404,,
116068,506805,8/4/2015,3,0,OnCurb,Alive,Poor,Tilia cordata,littleleaf linden,None,None,NoDamage,Volunteer,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,129 WEST 227 STREET,10463,Bronx,208,2,Bronx,10,72,31,MN01,Marble Hill-Inwood,1030900,New York,40.87741044,-73.91043758,1009017.85,258954.738,,,,
343871,507148,10/18/2015,12,0,OnCurb,Alive,Poor,Quercus palustris,pin oak,None,None,NoDamage,Volunteer,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4000 IRWIN AVENUE,10463,Bronx,208,2,Bronx,11,81,34,BX29,Spuyten Duyvil-Kingsbridge,2028500,New York,40.88906102,-73.90171932,1011424.06,263202.0947,,,,
118559,506752,8/4/2015,5,0,OnCurb,Alive,Poor,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,Volunteer,Stones,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,164 WEST 225 STREET,10463,Bronx,208,2,Bronx,10,72,31,MN01,Marble Hill-Inwood,1030900,New York,40.8755049,-73.91281013,1008362.431,258259.8116,,,,
115959,506785,8/4/2015,5,0,OnCurb,Alive,Poor,Ulmus americana,American elm,1or2,Helpful,NoDamage,Volunteer,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 MARBLE HILL AVENUE,10463,Bronx,208,2,Bronx,10,72,31,MN01,Marble Hill-Inwood,1030900,New York,40.87479159,-73.91099344,1008865.101,258000.4325,,,,
359299,516277,10/21/2015,4,0,OnCurb,Alive,Poor,Prunus,cherry,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1858 AMETHYST STREET,10462,Bronx,211,2,Bronx,15,87,33,BX37,Van Nest-Morris Park-Westchester Square,2023600,New York,40.84651323,-73.86864586,1020591.927,247712.272,15,236,,
