tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borocode,borough,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council district,census tract,bin,bbl
450339,200287,11/12/2015,4,0,OnCurb,Alive,Fair,Pyrus calleryana,Callery pear,1or2,None,NoDamage,TreesCount Staff,Stones,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,774 MONTAUK AVENUE,11208,Brooklyn,305,3,Brooklyn,42,60,19,BK82,East New York,3107000,New York,40.66006012,-73.86893352,1020613.981,179781.2927,,,,
623319,206609,7/12/2016,9,0,OnCurb,Alive,Fair,Quercus palustris,pin oak,1or2,Helpful,Damage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1532 61 STREET,11219,Brooklyn,311,3,Brooklyn,44,49,17,BK28,Bensonhurst West,3025000,New York,40.62502835,-73.99390802,985941.0888,166991.1208,,,,
31720,232120,6/23/2015,11,0,OnCurb,Alive,Fair,Acer saccharinum,silver maple,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1144 CORTELYOU ROAD,11203,Brooklyn,317,3,Brooklyn,45,58,21,BK91,East Flatbush-Farragut,3085200,New York,40.64524398,-73.93280016,1002898.529,174363.3131,40,526,,
476243,216719,11/20/2015,8,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,honeylocust,None,None,Damage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,114 PENN STREET,11211,Brooklyn,301,3,Brooklyn,33,50,26,BK72,Williamsburg,3053300,New York,40.70202511,-73.95848308,995761.4963,195045.8754,33,537,,
25772,233203,6/18/2015,2,0,OffsetFromCurb,Alive,Fair,Quercus palustris,pin oak,1or2,None,Damage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,122 PARKSIDE AVENUE,11215,Brooklyn,314,3,Brooklyn,39,44,21,BK42,Flatbush,3017700,New York,40.65379825,-73.9649268,993981.8667,177474.6645,40,50804,,
450802,200864,11/12/2015,3,0,OffsetFromCurb,Alive,Fair,Platanus x acerifolia,London planetree,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,665 LIVONIA AVENUE,11207,Brooklyn,305,3,Brooklyn,42,60,19,BK82,East New York,3112400,New York,40.6657773,-73.88655955,1015720.999,181857.3972,42,1126,,
695580,203282,9/3/2016,4,0,OnCurb,Alive,Fair,Prunus cerasifera,purple-leaf plum,1or2,None,Damage,Volunteer,BranchLights,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1321 83 STREET,11228,Brooklyn,310,3,Brooklyn,43,46,22,BK30,Dyker Heights,3015000,New York,40.61538644,-74.01137606,981091.6346,163478.4625,43,150,,
164376,222601,8/21/2015,2,0,OffsetFromCurb,Alive,Fair,Ulmus parvifolia,Chinese elm,1or2,None,NoDamage,Volunteer,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1578 GATES AVENUE,11237,Brooklyn,304,3,Brooklyn,37,53,18,BK77,Bushwick North,3043900,New York,40.7003451,-73.91150585,1008787.6,194443.4642,,,,
143145,225548,8/13/2015,10,0,OnCurb,Alive,Fair,Styphnolobium japonicum,Sophora,None,None,Damage,TreesCount Staff,Stones,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,572 7 AVENUE,11215,Brooklyn,307,3,Brooklyn,38,51,21,BK32,Sunset Park West,3014700,New York,40.6594086,-73.98838377,987472.9184,179516.9356,38,147,,
220642,227217,9/13/2015,5,0,OnCurb,Alive,Fair,Tilia cordata,littleleaf linden,None,None,NoDamage,Volunteer,"Stones,TrunkOther,BranchOther",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1638 CROWN STREET,11225,Brooklyn,309,3,Brooklyn,35,57,20,BK63,Crown Heights South,3032300,New York,40.66676629,-73.9563685,996354.21,182200.3502,,,,
553993,206561,4/16/2016,10,0,OnCurb,Alive,Fair,Fraxinus pennsylvanica,green ash,None,None,NoDamage,Volunteer,TrunkOther,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1573 OVINGTON AVENUE,11219,Brooklyn,311,3,Brooklyn,38,49,22,BK28,Bensonhurst West,3026200,New York,40.62042958,-73.99687821,985116.6469,165315.6235,,,,
614761,219483,7/5/2016,13,0,OnCurb,Alive,Fair,Acer platanoides,Norway maple,None,None,NoDamage,Volunteer,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,65 ADELPHI STREET,11205,Brooklyn,302,3,Brooklyn,35,50,25,BK68,Fort Greene,3018700,New York,40.69569152,-73.97229467,991932.6526,192736.8459,35,187,,
