tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borocode,borough,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council district,census tract,bin,bbl
411415,219267,11/1/2015,4,0,OnCurb,Alive,Poor,Platanus x acerifolia,London planetree,1or2,None,NoDamage,Volunteer,TrunkOther,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,161 ASHLAND PLACE,11201,Brooklyn,302,3,Brooklyn,35,57,25,BK68,Fort Greene,3003100,New York,40.69053843,-73.97864533,990172.081,190858.9303,,,,
545322,229682,1/31/2016,12,0,OnCurb,Alive,Poor,Acer platanoides,Norway maple,None,None,NoDamage,Volunteer,"TrunkOther,BranchOther",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,3507 BEDFORD AVENUE,11210,Brooklyn,314,3,Brooklyn,48,42,17,BK43,Midwood,3075600,New York,40.61677061,-73.94954841,998256.721,163986.5825,,,,
87070,203125,7/22/2015,3,0,OffsetFromCurb,Alive,Poor,Styphnolobium japonicum,Sophora,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,774 MONTAUK AVENUE,11208,Brooklyn,305,3,Brooklyn,42,60,19,BK82,East New York,3107800,New York,40.66004681,-73.86938902,1020487.612,179776.2563,,,,
461388,200710,11/16/2015,16,0,OnCurb,Alive,Poor,Platanus x acerifolia,London planetree,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,642 RIVERDALE AVENUE,11207,Brooklyn,305,3,Brooklyn,42,60,19,BK85,East New York (Pennsylvania Ave),3112600,New York,40.66351623,-73.89197887,1014218.573,181031.723,42,1128,,
411414,219267,11/1/2015,4,0,OnCurb,Alive,Poor,Platanus x acerifolia,London planetree,1or2,None,NoDamage,Volunteer,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,161 ASHLAND PLACE,11201,Brooklyn,302,3,Brooklyn,35,57,25,BK68,Fort Greene,3003100,New York,40.69105142,-73.9787186,990151.7169,191045.8243,,,,
65679,213266,7/14/2015,6,0,OnCurb,Alive,Poor,Tilia cordata,littleleaf linden,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3801 KINGS HIGHWAY,11210,Brooklyn,318,3,Brooklyn,45,41,19,BK58,Flatlands,3073800,New York,40.62200967,-73.93803646,1001451.399,165897.3608,45,738,,
87067,203125,7/22/2015,4,0,OnCurb,Alive,Poor,Styphnolobium japonicum,Sophora,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,774 MONTAUK AVENUE,11208,Brooklyn,305,3,Brooklyn,42,60,19,BK82,East New York,3107000,New York,40.65996937,-73.86949967,1020456.953,179747.9959,,,,
450338,200287,11/12/2015,9,0,OnCurb,Alive,Poor,Tilia cordata,littleleaf linden,1or2,None,NoDamage,TreesCount Staff,Stones,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,774 MONTAUK AVENUE,11208,Brooklyn,305,3,Brooklyn,42,60,19,BK82,East New York,3107000,New York,40.65999951,-73.86909931,1020568.015,179759.1432,,,,
104332,211956,7/30/2015,3,0,OffsetFromCurb,Alive,Poor,Juniperus virginiana,eastern redcedar,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,241 RIVERDALE AVENUE,11212,Brooklyn,316,3,Brooklyn,42,55,19,BK81,Brownsville,3091800,New York,40.66145046,-73.90755849,1009897.075,180274.1628,42,918,,
450150,203114,11/12/2015,3,0,OffsetFromCurb,Alive,Poor,Quercus palustris,pin oak,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,774 MONTAUK AVENUE,11208,Brooklyn,305,3,Brooklyn,42,60,19,BK82,East New York,3107800,New York,40.65998334,-73.86983499,1020363.912,179752.9476,,,,
450148,203114,11/12/2015,3,0,OffsetFromCurb,Alive,Poor,Liriodendron tulipifera,tulip-poplar,1or2,None,Damage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,774 MONTAUK AVENUE,11208,Brooklyn,305,3,Brooklyn,42,60,19,BK82,East New York,3107800,New York,40.66010685,-73.86955143,1020442.517,179798.0617,,,,
321359,201445,10/13/2015,6,0,OnCurb,Alive,Poor,Cercis canadensis,eastern redbud,1or2,None,NoDamage,Volunteer,"TrunkOther,BranchOther",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1393 DUMONT AVENUE,11208,Brooklyn,305,3,Brooklyn,42,60,19,BK82,East New York,3120800,New York,40.67048878,-73.86627581,1021345.552,183581.8576,42,1208,,
264187,220283,9/27/2015,2,0,OnCurb,Alive,Poor,Ginkgo biloba,ginkgo,1or2,None,NoDamage,Volunteer,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 BEDFORD PLACE,11216,Brooklyn,303,3,Brooklyn,36,57,25,BK61,Crown Heights North,3024700,New York,40.67986357,-73.95426173,996936.1761,186972.36,36,247,,
259799,209970,9/25/2015,5,0,OnCurb,Alive,Poor,Prunus virginiana,'Schubert' chokecherry,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2930 AVENUE U,11229,Brooklyn,315,3,Brooklyn,46,41,19,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,3057000,New York,40.6003778,-73.94161248,1000463.931,158015.6259,,,,
372092,203565,10/24/2015,11,0,OnCurb,Alive,Poor,Acer platanoides,Norway maple,1or2,Helpful,Damage,TreesCount Staff,"BranchLights,BranchOther",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,913 84 STREET,11228,Brooklyn,310,3,Brooklyn,43,46,22,BK30,Dyker Heights,3014000,New York,40.61976079,-74.02012546,978662.8803,165072.5918,43,140,,
450195,200402,11/12/2015,2,0,OffsetFromCurb,Alive,Poor,Styrax japonicus,Japanese snowbell,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,774 MONTAUK AVENUE,11208,Brooklyn,305,3,Brooklyn,42,60,19,BK82,East New York,3107800,New York,40.65976851,-73.87033637,1020224.923,179674.4724,,,,
373724,222802,10/24/2015,5,0,OnCurb,Alive,Poor,Prunus,cherry,None,None,NoDamage,Volunteer,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,389 SUYDAM STREET,11237,Brooklyn,304,3,Brooklyn,34,53,18,BK77,Bushwick North,3044500,New York,40.70503628,-73.920777,1006215.357,196150.1402,34,445,,
477276,208796,11/21/2015,29,0,OnCurb,Alive,Poor,Quercus palustris,pin oak,None,None,Damage,TreesCount Staff,Stones,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1144 SHEEPSHEAD BAY ROAD,11235,Brooklyn,315,3,Brooklyn,48,45,17,BK25,Homecrest,3058800,New York,40.59164434,-73.95760532,996024.3367,154831.2514,,,,
25226,225949,6/18/2015,16,0,OnCurb,Alive,Poor,Ulmus americana,American elm,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,289 EASTERN PARKWAY,11216,Brooklyn,308,3,Brooklyn,35,43,20,BK61,Crown Heights North,3031702,New York,40.67011054,-73.95209035,997540.3815,183419.373,35,217,,
