tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borocode,borough,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council district,census tract,bin,bbl
204802,106183,9/5/2015,4,0,OnCurb,Alive,Fair,Cornus florida,flowering dogwood,3or4,Unsure,NoDamage,Volunteer,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,75 WEST END AVENUE,10023,New York,107,1,Manhattan,6,67,31,MN14,Lincoln Square,1015100,New York,40.77392181,-73.98891438,987320.421,221237.5828,,,,
432797,102265,11/5/2015,4,0,OnCurb,Alive,Fair,Quercus palustris,pin oak,None,None,NoDamage,TreesCount Staff,Stones,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,241 AVENUE OF THE AMERICAS,10014,New York,102,1,Manhattan,3,66,27,MN23,West Village,1006700,New York,40.72857855,-74.00316238,983373.5083,204717.3915,,,,
78924,100976,7/19/2015,7,0,OffsetFromCurb,Alive,Fair,Tilia americana,American linden,None,None,NoDamage,Volunteer,MetalGrates,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 WALL STREET COURT,10005,New York,101,1,Manhattan,1,65,26,MN25,Battery Park City-Lower Manhattan,1000700,New York,40.70506345,-74.00834119,981937.3232,196150.2137,,,,
121788,109605,8/5/2015,3,0,OnCurb,Alive,Fair,Quercus rubra,northern red oak,None,None,NoDamage,TreesCount Staff,TrunkOther,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2770 FREDERICK DOUGLASS BOULEVARD,10039,New York,110,1,Manhattan,9,71,30,MN03,Central Harlem North-Polo Grounds,1023400,New York,40.82452943,-73.94053997,1000706.329,239681.0978,,,,
122073,107401,8/6/2015,9,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,Volunteer,"MetalGrates,TrunkOther",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,530 EAST 75 STREET,10021,New York,108,1,Manhattan,5,76,28,MN31,Lenox Hill-Roosevelt Island,1013200,New York,40.76791804,-73.9504002,997989.0604,219053.9058,5,132,,
227768,101477,9/15/2015,13,0,OffsetFromCurb,Alive,Fair,Platanus x acerifolia,London planetree,1or2,Unsure,NoDamage,Volunteer,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 CHARLTON STREET,10014,New York,102,1,Manhattan,3,66,26,MN24,SoHo-TriBeCa-Civic Center-Little Italy,1003700,New York,40.72698054,-74.00314033,983379.5979,204135.1833,3,37,,
218237,108295,9/12/2015,6,0,OnCurb,Alive,Fair,Styphnolobium japonicum,Sophora,3or4,Harmful,Damage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,390 RIVERSIDE DRIVE,10025,New York,109,1,Manhattan,7,69,31,MN09,Morningside Heights,1019900,New York,40.80540821,-73.96748959,993250.2612,232710.6376,,,,
407012,102834,10/30/2015,11,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,NYC Parks Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,286 EAST 2 STREET,10002,New York,103,1,Manhattan,2,74,26,MN28,Lower East Side,1002201,New York,40.72024882,-73.98032132,989704.8634,201683.2086,,,,
13178,102267,6/8/2015,14,0,OffsetFromCurb,Alive,Fair,Fraxinus pennsylvanica,green ash,1or2,None,Damage,Volunteer,"Stones,MetalGrates,TrunkOther,BranchOther",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,65 LEROY STREET,10014,New York,102,1,Manhattan,3,66,27,MN23,West Village,1006700,New York,40.73019149,-74.00530428,982779.8907,205305.0612,,,,
45659,111515,7/1/2015,3,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,honeylocust,1or2,None,NoDamage,Volunteer,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5044 BROADWAY,10034,New York,112,1,Manhattan,10,72,31,MN01,Marble Hill-Inwood,1030300,New York,40.86909008,-73.91631276,1007396.007,255921.6975,,,,
152148,111981,8/17/2015,11,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,honeylocust,1or2,Helpful,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,866 UNITED NATIONS PLAZA,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1008603,New York,40.75216603,-73.96584603,993712.8298,213312.8877,,,,
170725,100879,8/24/2015,8,0,OffsetFromCurb,Alive,Fair,Pyrus calleryana,Callery pear,1or2,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30 WEST STREET,10280,New York,101,1,Manhattan,1,65,26,MN25,Battery Park City-Lower Manhattan,1031704,New York,40.7059813,-74.01681031,979589.2406,196484.9522,,,,
193965,106719,9/1/2015,11,0,OnCurb,Alive,Fair,Styphnolobium japonicum,Sophora,None,Harmful,NoDamage,Volunteer,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,680 WEST END AVENUE,10025,New York,107,1,Manhattan,6,69,31,MN12,Upper West Side,1017900,New York,40.79360592,-73.9742802,991371.5947,228410.0235,,,,
241128,105775,9/20/2015,6,0,OnCurb,Alive,Fair,Quercus palustris,pin oak,None,None,NoDamage,TreesCount Staff,MetalGrates,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,100 UNITED NATIONS PLAZA,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009000,New York,40.75287932,-73.96783315,993162.1761,213572.5513,,,,
290350,108020,10/6/2015,7,0,OnCurb,Alive,Fair,Pyrus calleryana,Callery pear,3or4,Helpful,NoDamage,Volunteer,BranchOther,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1030 5 AVENUE,10028,New York,108,1,Manhattan,4,73,28,MN40,Upper East Side-Carnegie Hill,1015001,New York,40.78034477,-73.96117345,995002.8843,223579.8728,,,,
366052,105850,10/22/2015,1,0,OnCurb,Alive,Fair,Ginkgo biloba,ginkgo,1or2,None,NoDamage,Volunteer,"MetalGrates,TrunkOther",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,825 3 AVENUE,10022,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009800,New York,40.75568544,-73.97030483,992477.0226,214594.6709,,,,
465514,602366,11/17/2015,20,0,OnCurb,Alive,Fair,Tilia cordata,littleleaf linden,None,None,NoDamage,Volunteer,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,299 RIVERSIDE DRIVE,10025,New York,107,1,Manhattan,6,69,31,MN12,Upper West Side,1018700,New York,40.79982583,-73.97253294,991854.6839,230676.3002,,,,
487955,105002,11/30/2015,5,0,OnCurb,Alive,Fair,Pyrus calleryana,Callery pear,None,None,NoDamage,TreesCount Staff,MetalGrates,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,540 MADISON AVENUE,10022,New York,105,1,Manhattan,4,73,27,MN17,Midtown-Midtown South,1010200,New York,40.76081839,-73.97354611,991578.465,216464.4828,,,,
