tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borocode,borough,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council district,census tract,bin,bbl
198514,108318,9/2/2015,18,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,NoDamage,Volunteer,Stones,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 MORNINGSIDE DRIVE,10025,New York,109,1,Manhattan,7,69,30,MN09,Morningside Heights,1019701,New York,40.80230109,-73.9620798,994748.4085,231579.2036,,,,
173993,107653,8/25/2015,14,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,3or4,Helpful,NoDamage,Volunteer,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,601 EAST 82 STREET,10028,New York,108,1,Manhattan,5,76,28,MN32,Yorkville,1013600,New York,40.77242815,-73.9464533,999081.3424,220697.7319,,,,
228202,105266,9/15/2015,10,0,OffsetFromCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,None,NoDamage,Volunteer,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,445 EAST 14 STREET,10009,New York,106,1,Manhattan,4,74,27,MN50,Stuyvesant Town-Cooper Village,1004400,New York,40.73077581,-73.98066707,989608.1769,205518.4952,,,,
278028,102496,10/2/2015,4,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,NoDamage,NYC Parks Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 POLICE PLAZA,10038,New York,103,1,Manhattan,1,65,26,MN27,Chinatown,1002700,New York,40.71242783,-74.0007704,984036.4233,198833.1723,,,,
252963,107279,9/24/2015,4,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,3or4,Helpful,NoDamage,Volunteer,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,570 PARK AVENUE,10065,New York,108,1,Manhattan,4,73,28,MN40,Upper East Side-Carnegie Hill,1011401,New York,40.76547298,-73.96826492,993040.886,218160.7901,,,,
282744,100878,10/5/2015,9,0,OffsetFromCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,3or4,Helpful,NoDamage,NYC Parks Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2 WEST STREET,10280,New York,101,1,Manhattan,1,65,26,MN25,Battery Park City-Lower Manhattan,1031704,New York,40.70530114,-74.01770477,979341.1985,196237.1971,,,,
311718,111811,10/11/2015,19,0,OffsetFromCurb,Alive,Good,Ulmus americana,American elm,None,None,NoDamage,Volunteer,Stones,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1030 5 AVENUE,83,Central Park,108,1,Manhattan,6,69,29,MN40,Upper East Side-Carnegie Hill,1014300,New York,40.78039496,-73.96137739,994946.3956,223598.1336,,,,
348936,104066,10/19/2015,3,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,1or2,Helpful,NoDamage,Volunteer,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,764 11 AVENUE,10019,New York,104,1,Manhattan,3,67,27,MN15,Clinton,1013500,New York,40.76812643,-73.9928331,986235.2119,219126.0182,3,135,,
350484,105642,10/20/2015,12,0,OffsetFromCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,Volunteer,Stones,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,405 EAST 42 STREET,10017,New York,106,1,Manhattan,4,74,28,MN19,Turtle Bay-East Midtown,1008601,New York,40.74840347,-73.96982561,992610.7047,211941.6592,4,8602,,
398309,109513,10/29/2015,6,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,None,None,Damage,TreesCount Staff,Stones,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2640 FREDERICK DOUGLASS BOULEVARD,10030,New York,110,1,Manhattan,9,70,30,MN03,Central Harlem North-Polo Grounds,1023000,New York,40.8201107,-73.94350721,999886.1449,238070.6496,,,,
386514,105796,10/27/2015,4,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,1or2,Helpful,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 DAG HAMMARSKJOLD PLAZA,10017,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009000,New York,40.75321236,-73.96987858,992595.4259,213693.6888,,,,
451898,111902,11/12/2015,19,0,OnCurb,Alive,Good,Ulmus americana,American elm,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,140 RIVERSIDE DRIVE,10024,New York,107,1,Manhattan,6,69,31,MN12,Upper West Side,1017500,New York,40.79038295,-73.98012509,989753.4614,227235.3658,,,,
465512,602366,11/17/2015,30,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,None,None,NoDamage,Volunteer,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,300 RIVERSIDE DRIVE,10025,New York,107,1,Manhattan,6,69,31,MN12,Upper West Side,1019100,New York,40.79998095,-73.97235899,991902.8279,230732.8303,,,,
974,104023,5/20/2015,7,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,NoDamage,Volunteer,MetalGrates,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,607 WEST 50 STREET,10019,New York,104,1,Manhattan,3,67,31,MN15,Clinton,1012900,New York,40.76635303,-73.99592545,985378.669,218479.8544,3,135,,
21230,108665,6/15/2015,2,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,1or2,None,Damage,TreesCount Staff,Stones,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,336 CONVENT AVENUE,10031,New York,109,1,Manhattan,7,71,31,MN04,Hamilton Heights,1022700,New York,40.82387487,-73.9468535,998959.1215,239441.493,,,,
27453,101535,6/20/2015,16,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,Damage,TreesCount Staff,"Stones,BranchOther",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3 WASHINGTON SQUARE VILLAGE,10012,New York,102,1,Manhattan,1,66,27,MN23,West Village,1005501,New York,40.72809733,-73.99773269,984878.4167,204542.0605,,,,
43549,110390,6/30/2015,3,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,None,NoDamage,Volunteer,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1754 PARK AVENUE,10035,New York,111,1,Manhattan,9,68,30,MN34,East Harlem North,1019800,New York,40.80269991,-73.94127668,1000507.766,231727.6865,9,198,,
