tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borocode,borough,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council district,census tract,bin,bbl
436530,322963,11/6/2015,18,0,OnCurb,Alive,Poor,Pyrus calleryana,Callery pear,None,None,NoDamage,TreesCount Staff,Stones,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,237-020 34 AVENUE,11363,Little Neck,411,4,Queens,19,26,11,QN45,Douglas Manor-Douglaston-Little Neck,4148300,New York,40.77577756,-73.75012152,1053457.663,222012.2112,,,,
569416,318794,5/30/2016,13,0,OnCurb,Alive,Poor,Gleditsia triacanthos var. inermis,honeylocust,None,None,Damage,Volunteer,BranchLights,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,107-073 109 STREET,11419,South Richmond Hill,410,4,Queens,28,31,10,QN55,South Ozone Park,4009600,New York,40.67987821,-73.83076946,1031188.517,187019.7218,,,,
656051,305157,8/5/2016,3,0,OnCurb,Alive,Poor,Gleditsia triacanthos var. inermis,honeylocust,1or2,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,144-012 GRAND CENTRAL PARKWAY SR SOUTH,11435,Jamaica,408,4,Queens,24,27,14,QN35,Briarwood-Jamaica Hills,4022002,New York,40.71558935,-73.81552166,1035390.307,200038.8605,,,,
88463,307550,7/23/2015,4,0,OnCurb,Alive,Poor,Quercus rubra,northern red oak,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,196-005 GRAND CENTRAL PARKWAY,11423,Hollis,408,4,Queens,23,24,11,QN06,Jamaica Estates-Holliswood,4128300,New York,40.73055721,-73.76924225,1048205.299,205522.4991,,,,
54650,349832,7/8/2015,6,0,OnCurb,Alive,Poor,Styphnolobium japonicum,Sophora,None,None,NoDamage,TreesCount Staff,"Stones,TrunkOther",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,40-024 222 STREET,11361,Bayside,411,4,Queens,19,26,11,QN46,Bayside-Bayside Hills,4111300,New York,40.76496503,-73.7613985,1050345.069,218064.1525,19,1113,,
217914,339747,9/12/2015,2,0,OnCurb,Alive,Poor,Nyssa sylvatica,blackgum,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,120-010 ROCKAWAY BEACH BOULEVARD,11694,Rockaway Park,414,4,Queens,32,23,15,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,4093402,New York,40.5788565,-73.84102502,1028410.791,150209.5418,,,,
122115,336793,8/6/2015,2,0,OnCurb,Alive,Poor,Crataegus,hawthorn,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,80-006 CROSS ISLAND PARKWAY,11426,Bellerose,413,4,Queens,23,24,14,QN43,Bellerose,4156700,New York,40.74059711,-73.72864163,1059446.533,209212.5862,,,,
275073,303026,10/1/2015,8,0,OnCurb,Alive,Poor,Tilia cordata,littleleaf linden,None,None,NoDamage,Volunteer,"Stones,BranchLights",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,48-011 37 STREET,11101,Long Island City,402,4,Queens,26,37,12,QN31,Hunters Point-Sunnyside-West Maspeth,4018900,New York,40.73996479,-73.92875762,1003992.302,208873.7654,,,,
304003,304322,10/10/2015,2,0,OnCurb,Alive,Poor,Ginkgo biloba,ginkgo,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2 GOTHAM CENTER,11101,Long Island City,402,4,Queens,26,37,12,QN31,Hunters Point-Sunnyside-West Maspeth,4001900,New York,40.74917666,-73.93942979,1001032.569,212227.7203,,,,
416985,323101,11/2/2015,20,0,OnCurb,Alive,Poor,Acer saccharinum,silver maple,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19 28 AVENUE,11363,Little Neck,411,4,Queens,19,26,11,QN45,Douglas Manor-Douglaston-Little Neck,4148300,New York,40.78002799,-73.75247549,1052801.321,223558.9263,,,,
