tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borocode,borough,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council district,census tract,bin,bbl
317137,413254,10/13/2015,30,0,OnCurb,Alive,Fair,Acer rubrum,red maple,None,None,Damage,NYC Parks Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15 STROUD AVENUE,10312,Staten Island,503,5,Staten Island,51,62,24,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,5017012,New York,40.55399528,-74.16901182,937283.6605,141157.2256,,,,
505537,410477,12/9/2015,4,0,OnCurb,Alive,Fair,Cornus mas,Cornelian cherry,None,None,NoDamage,NYC Parks Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,365 WATERBURY AVENUE,10309,Staten Island,503,5,Staten Island,51,62,24,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,5019800,New York,40.52616589,-74.19960007,928760.465,131036.2317,,,,
578853,411487,6/8/2016,24,0,OnCurb,Alive,Fair,Quercus palustris,pin oak,1or2,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,608 HUGUENOT AVENUE,10312,Staten Island,503,5,Staten Island,51,62,24,SI32,Rossville-Woodrow,5020804,New York,40.53964278,-74.19620613,929714.9903,135944.0359,51,20804,,
586654,408083,6/14/2016,7,0,OnCurb,Alive,Fair,Acer rubrum,red maple,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7 SIGNS ROAD,10314,Staten Island,502,5,Staten Island,50,63,24,SI05,New Springville-Bloomfield-Travis,5029103,New York,40.60242898,-74.16340032,938875.9418,158799.8393,50,29103,,
43034,409022,6/30/2015,5,0,OnCurb,Alive,Fair,Liquidambar styraciflua,sweetgum,1or2,None,NoDamage,Volunteer,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2350 FOREST HILL ROAD,10314,Staten Island,502,5,Staten Island,51,63,24,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,5027702,New York,40.57305293,-74.16739054,937747.4611,148099.5178,,,,
43029,409022,6/30/2015,5,0,OnCurb,Alive,Fair,Liquidambar styraciflua,sweetgum,1or2,None,NoDamage,Volunteer,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2350 FOREST HILL ROAD,10314,Staten Island,502,5,Staten Island,51,63,24,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,5027702,New York,40.57330538,-74.16770474,937660.3481,148191.6568,,,,
105485,408950,7/30/2015,6,0,OnCurb,Alive,Fair,Zelkova serrata,Japanese zelkova,None,None,Damage,TreesCount Staff,WiresRope,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2350 FOREST HILL ROAD,10314,Staten Island,502,5,Staten Island,51,63,24,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,5027702,New York,40.57230631,-74.16973484,937095.6665,147828.7569,,,,
87199,413893,7/22/2015,19,0,OnCurb,Alive,Fair,Liquidambar styraciflua,sweetgum,None,None,NoDamage,NYC Parks Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,90 HILLCREST AVENUE,10308,Staten Island,503,5,Staten Island,51,64,24,SI54,Great Kills,5015601,New York,40.54446477,-74.15094355,942298.6239,137675.8677,51,15601,,
335862,410072,10/16/2015,3,0,OnCurb,Alive,Fair,Gymnocladus dioicus,Kentucky coffeetree,1or2,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8 BRIGHTON STREET,10307,Staten Island,503,5,Staten Island,51,62,24,SI11,Charleston-Richmond Valley-Tottenville,5024401,New York,40.50924088,-74.24492561,916142.5913,124902.0577,51,24401,,
43016,409022,6/30/2015,5,0,OnCurb,Alive,Fair,Liquidambar styraciflua,sweetgum,1or2,None,NoDamage,Volunteer,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2350 FOREST HILL ROAD,10314,Staten Island,502,5,Staten Island,51,63,24,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,5027702,New York,40.57386433,-74.16930591,937215.9254,148396.1508,,,,
216421,412926,9/11/2015,3,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,honeylocust,1or2,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,98 CANTON AVENUE,10312,Staten Island,503,5,Staten Island,51,62,24,SI48,Arden Heights,5017010,New York,40.54885583,-74.19215893,930847.26,139298.0679,51,17010,,
273602,411611,10/1/2015,4,0,OnCurb,Alive,Fair,Metasequoia glyptostroboides,dawn redwood,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,141 STORER AVENUE,10309,Staten Island,503,5,Staten Island,51,62,24,SI11,Charleston-Richmond Valley-Tottenville,5022600,New York,40.53835639,-74.23307133,919467.1715,135500.48,,,,
