tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borocode,borough,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council district,census tract,bin,bbl
300591,413520,10/9/2015,4,0,OnCurb,Alive,Poor,Cercis canadensis,eastern redbud,None,None,Damage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3262 RICHMOND AVENUE,10312,Staten Island,503,5,Staten Island,51,62,24,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,5017012,New York,40.55972156,-74.16972459,937089.6327,143243.8297,,,,
524188,410695,12/17/2015,4,0,OnCurb,Alive,Poor,Pyrus calleryana,Callery pear,None,None,Damage,NYC Parks Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,120 MAGUIRE AVENUE,10309,Staten Island,503,5,Staten Island,51,62,24,SI32,Rossville-Woodrow,5020803,New York,40.52880013,-74.21102676,925586.1229,132003.3902,51,20803,,
505358,412589,12/9/2015,9,0,OnCurb,Alive,Poor,Acer,maple,None,None,NoDamage,NYC Parks Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40 RYE AVENUE,10312,Staten Island,503,5,Staten Island,51,62,24,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,5017011,New York,40.54509548,-74.17003372,936993.3921,137915.3732,,,,
465984,402810,11/18/2015,64,0,OnCurb,Alive,Poor,Tilia cordata,littleleaf linden,None,None,NoDamage,NYC Parks Staff,"RootOther,TrunkOther,BranchOther",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,256 LAKE AVENUE,10303,Staten Island,501,5,Staten Island,49,61,23,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,5023900,New York,40.62978856,-74.15157143,942177.908,168761.7308,49,239,,
542917,600143,1/4/2016,25,0,OnCurb,Alive,Poor,Pyrus calleryana,Callery pear,1or2,None,NoDamage,Volunteer,"Stones,TrunkOther,BranchLights,BranchOther",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,4 ROMER ROAD,10304,Staten Island,502,5,Staten Island,50,63,24,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,5017700,New York,40.59278636,-74.10347555,955512.0791,155261.4415,,,,
512311,412464,12/11/2015,6,0,OnCurb,Alive,Poor,Cercis canadensis,eastern redbud,None,None,NoDamage,NYC Parks Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18 JEANNETTE AVENUE,10312,Staten Island,503,5,Staten Island,51,62,24,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,5017005,New York,40.5433385,-74.17622839,935270.4529,137278.6668,51,17005,,
200065,406754,9/3/2015,3,0,OnCurb,Alive,Poor,Zelkova serrata,Japanese zelkova,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,145 EAST SERVICE ROAD,10314,Staten Island,502,5,Staten Island,50,63,24,SI05,New Springville-Bloomfield-Travis,5029102,New York,40.58931973,-74.19261749,930752.2382,154040.3035,,,,
200073,406754,9/3/2015,6,0,OnCurb,Alive,Poor,Acer rubrum,red maple,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,145 EAST SERVICE ROAD,10314,Staten Island,502,5,Staten Island,50,63,24,SI05,New Springville-Bloomfield-Travis,5029102,New York,40.58779814,-74.19227453,930846.2754,153485.7413,,,,
285118,412111,10/5/2015,5,0,OnCurb,Alive,Poor,Acer rubrum,red maple,None,None,NoDamage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2449 VETERANS ROAD WEST,10309,Staten Island,503,5,Staten Island,51,62,24,SI11,Charleston-Richmond Valley-Tottenville,5022600,New York,40.52871553,-74.23413978,919160.806,131988.8936,51,226,,
117680,408949,8/4/2015,6,0,OnCurb,Alive,Poor,Metasequoia glyptostroboides,dawn redwood,None,None,Damage,TreesCount Staff,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2350 FOREST HILL ROAD,10314,Staten Island,502,5,Staten Island,51,63,24,SI05,New Springville-Bloomfield-Travis,5027702,New York,40.57365673,-74.16993851,937040.0416,148320.8596,,,,
